TARGET,CODE_GENDER,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,DAYS_BIRTH,DAYS_EMPLOYED
0,F,2,382500.0,1417185.0,38970.0,State servant,Higher education,-16796,-1095
0,M,0,225000.0,1428408.0,87520.5,Commercial associate,Higher education,-9820,-2132
0,F,0,108000.0,528633.0,22396.5,Pensioner,Higher education,-23683,365243
0,M,1,202500.0,450000.0,24412.5,Working,Secondary / secondary special,-10107,-2538
0,F,2,135000.0,364896.0,19926.0,Working,Secondary / secondary special,-11683,-2025
0,F,0,135000.0,497749.5,25542.0,Commercial associate,Secondary / secondary special,-17887,-2415
0,M,0,180000.0,254700.0,17149.5,State servant,Secondary / secondary special,-9029,-536
1,F,0,180000.0,585000.0,32796.0,Commercial associate,Secondary / secondary special,-18433,-1852
0,F,0,225000.0,1096924.5,46606.5,Commercial associate,Secondary / secondary special,-16298,-2852
0,F,2,180000.0,590337.0,28530.0,Commercial associate,Secondary / secondary special,-12982,-1168
0,M,0,180000.0,454500.0,19107.0,Working,Secondary / secondary special,-10025,-978
0,F,0,180000.0,675000.0,21775.5,Commercial associate,Secondary / secondary special,-15579,-715
0,M,0,225000.0,1195461.0,35082.0,Pensioner,Higher education,-19812,365243
0,F,0,67500.0,526491.0,19039.5,Pensioner,Secondary / secondary special,-19436,365243
0,F,0,130500.0,375322.5,16659.0,Pensioner,Secondary / secondary special,-22145,365243
0,F,1,238500.0,540000.0,17419.5,Commercial associate,Higher education,-13301,-620
0,F,0,90000.0,292500.0,14625.0,Pensioner,Secondary / secondary special,-22530,365243
0,F,0,157500.0,577147.5,26874.0,Commercial associate,Secondary / secondary special,-17524,-2182
0,M,1,135000.0,557770.5,35775.0,Commercial associate,Higher education,-11919,-2024
0,F,1,135000.0,270000.0,13500.0,Working,Higher education,-11454,-2699
0,F,0,162000.0,536917.5,30109.5,Working,Higher education,-22435,-15473
0,F,0,29250.0,76410.0,7686.0,State servant,Secondary / secondary special,-14689,-698
0,F,0,121500.0,247500.0,12375.0,Working,Secondary / secondary special,-14646,-211
0,F,1,180000.0,521280.0,31630.5,Working,Secondary / secondary special,-10916,-577
0,M,0,157500.0,1019610.0,36751.5,Commercial associate,Secondary / secondary special,-13111,-1644
0,M,0,225000.0,405000.0,29601.0,State servant,Higher education,-9496,-1329
0,F,2,135000.0,225000.0,11250.0,Commercial associate,Higher education,-11988,-229
0,F,0,130500.0,521280.0,27423.0,Commercial associate,Secondary / secondary special,-13000,-2698
0,F,0,157500.0,679266.0,22041.0,Pensioner,Secondary / secondary special,-22942,365243
1,M,0,315000.0,450000.0,53406.0,Working,Incomplete higher,-9717,-297
0,M,1,360000.0,1963494.0,56403.0,Commercial associate,Higher education,-10619,-743
0,F,0,135000.0,296280.0,21690.0,Working,Higher education,-13081,-2857
0,M,0,112500.0,317979.0,22261.5,Commercial associate,Secondary / secondary special,-16710,-298
0,F,0,135000.0,942300.0,30528.0,Working,Secondary / secondary special,-12617,-3530
0,F,1,112500.0,343800.0,16852.5,Working,Secondary / secondary special,-13711,-555
0,M,0,450000.0,849415.5,43501.5,Working,Secondary / secondary special,-18978,-2269
1,F,1,157500.0,1024740.0,55588.5,Working,Higher education,-12107,-2884
0,F,1,306000.0,927252.0,27243.0,Commercial associate,Higher education,-14528,-3451
1,F,0,72000.0,448056.0,21919.5,Commercial associate,Secondary / secondary special,-13128,-1178
0,F,0,405000.0,733315.5,39199.5,Working,Secondary / secondary special,-19855,-4462
0,F,0,157500.0,945000.0,40036.5,Working,Secondary / secondary special,-15320,-819
0,M,0,135000.0,383746.5,40846.5,Commercial associate,Secondary / secondary special,-14616,-141
0,M,1,180000.0,178290.0,21289.5,Commercial associate,Secondary / secondary special,-10668,-525
0,M,0,135000.0,675000.0,37692.0,Commercial associate,Lower secondary,-13749,-457
0,F,0,112500.0,454500.0,24214.5,Working,Secondary / secondary special,-19384,-5403
0,F,0,157500.0,336370.5,32899.5,Pensioner,Secondary / secondary special,-20452,365243
0,M,0,405000.0,270000.0,25245.0,Commercial associate,Secondary / secondary special,-13511,-805
0,M,0,247500.0,408780.0,20011.5,Commercial associate,Secondary / secondary special,-20500,-718
0,F,0,135000.0,808650.0,23773.5,Working,Secondary / secondary special,-17821,-5202
0,M,0,157500.0,454500.0,21865.5,Working,Higher education,-13126,-1745
0,F,1,67500.0,202500.0,10125.0,Working,Higher education,-12298,-2622
0,F,0,144000.0,830214.0,24403.5,Working,Higher education,-20396,-1426
0,F,0,112500.0,292500.0,11268.0,Commercial associate,Secondary / secondary special,-10424,-2218
0,F,2,135000.0,1040985.0,27589.5,Working,Incomplete higher,-12849,-104
0,M,3,225000.0,1078200.0,34780.5,Commercial associate,Higher education,-13891,-2449
1,M,0,135000.0,307287.0,23908.5,State servant,Secondary / secondary special,-10083,-2886
0,F,0,45000.0,170640.0,11533.5,Working,Secondary / secondary special,-19832,-1392
